"id","label","file","width","height","ratio","localAvailable","exists","localPath"
"blu-stripes","Blu Stripes","blu-stripes.png","100","100","1:1","True","True","assets/textures/transparent/blu-stripes.png"
"bo-play","Bo Play","bo-play.png","42","22","21:11","True","True","assets/textures/transparent/bo-play.png"
"brick-wall","Brick Wall","brick-wall.png","110","69","110:69","True","True","assets/textures/transparent/brick-wall.png"
"brick-wall-dark","Brick Wall (Dark)","brick-wall-dark.png","110","69","110:69","True","True","assets/textures/transparent/brick-wall-dark.png"
"bright-squares","Bright Squares","bright-squares.png","297","297","1:1","True","True","assets/textures/transparent/bright-squares.png"
"brilliant","Brilliant","brilliant.png","3","3","1:1","True","True","assets/textures/transparent/brilliant.png"
"broken-noise","Broken Noise","broken-noise.png","476","476","1:1","True","True","assets/textures/transparent/broken-noise.png"
"brushed-alum","Brushed Alum","brushed-alum.png","400","400","1:1","True","True","assets/textures/transparent/brushed-alum.png"
"brushed-alum-dark","Brushed Alum Dark","brushed-alum-dark.png","400","400","1:1","True","True","assets/textures/transparent/brushed-alum-dark.png"
"buried","Buried","buried.png","350","350","1:1","True","True","assets/textures/transparent/buried.png"
"candyhole","Candyhole","candyhole.png","25","25","1:1","True","True","assets/textures/transparent/candyhole.png"
"carbon-fibre","Carbon Fibre","carbon-fibre.png","24","22","12:11","True","True","assets/textures/transparent/carbon-fibre.png"
"carbon-fibre-big","Carbon Fibre Big","carbon-fibre-big.png","20","22","10:11","True","True","assets/textures/transparent/carbon-fibre-big.png"
"carbon-fibre-v2","Carbon Fibre V2","carbon-fibre-v2.png","32","36","8:9","True","True","assets/textures/transparent/carbon-fibre-v2.png"
"cardboard","Cardboard","cardboard.png","600","600","1:1","True","True","assets/textures/transparent/cardboard.png"
"cardboard-flat","Cardboard Flat","cardboard-flat.png","256","256","1:1","True","True","assets/textures/transparent/cardboard-flat.png"
"cartographer","Cartographer","cartographer.png","500","499","500:499","True","True","assets/textures/transparent/cartographer.png"
"checkered-light-emboss","Checkered Light Emboss","checkered-light-emboss.png","60","60","1:1","True","True","assets/textures/transparent/checkered-light-emboss.png"
"checkered-pattern","Checkered Pattern","checkered-pattern.png","72","72","1:1","True","True","assets/textures/transparent/checkered-pattern.png"
"church","Church","church.png","100","100","1:1","True","True","assets/textures/transparent/church.png"
"circles","Circles","circles.png","16","12","4:3","True","True","assets/textures/transparent/circles.png"
"classy-fabric","Classy Fabric","classy-fabric.png","102","102","1:1","True","True","assets/textures/transparent/classy-fabric.png"
"clean-gray-paper","Clean Gray Paper","clean-gray-paper.png","512","512","1:1","True","True","assets/textures/transparent/clean-gray-paper.png"
"clean-textile","Clean Textile","clean-textile.png","420","420","1:1","True","True","assets/textures/transparent/clean-textile.png"
"climpek","Climpek","climpek.png","44","44","1:1","True","True","assets/textures/transparent/climpek.png"
"cloth-alike","Cloth Alike","cloth-alike.png","102","78","17:13","True","True","assets/textures/transparent/cloth-alike.png"
"concrete-wall","Concrete Wall","concrete-wall.png","520","520","1:1","True","True","assets/textures/transparent/concrete-wall.png"
"concrete-wall-2","Concrete Wall 2","concrete-wall-2.png","597","545","597:545","True","True","assets/textures/transparent/concrete-wall-2.png"
"concrete-wall-3","Concrete Wall 3","concrete-wall-3.png","400","299","400:299","True","True","assets/textures/transparent/concrete-wall-3.png"
"connected","Connected","connected.png","160","160","1:1","True","True","assets/textures/transparent/connected.png"
"corrugation","Corrugation","corrugation.png","8","5","8:5","True","True","assets/textures/transparent/corrugation.png"
"cream-dust","Cream Dust","cream-dust.png","50","50","1:1","True","True","assets/textures/transparent/cream-dust.png"
"cream-paper","Cream Paper","cream-paper.png","158","144","79:72","True","True","assets/textures/transparent/cream-paper.png"
"cream-pixels","Cream Pixels","cream-pixels.png","160","160","1:1","True","True","assets/textures/transparent/cream-pixels.png"
"crisp-paper-ruffles","Crisp Paper Ruffles","crisp-paper-ruffles.png","481","500","481:500","True","True","assets/textures/transparent/crisp-paper-ruffles.png"
"crissxcross","Crissxcross","crissxcross.png","512","512","1:1","True","True","assets/textures/transparent/crissxcross.png"
"cross-scratches","Cross Scratches","cross-scratches.png","256","256","1:1","True","True","assets/textures/transparent/cross-scratches.png"
"cross-stripes","Cross Stripes","cross-stripes.png","6","6","1:1","True","True","assets/textures/transparent/cross-stripes.png"
"crossword","Crossword","crossword.png","400","400","1:1","True","True","assets/textures/transparent/crossword.png"
"cubes","Cubes","cubes.png","67","100","67:100","True","True","assets/textures/transparent/cubes.png"
"cutcube","Cutcube","cutcube.png","20","36","5:9","True","True","assets/textures/transparent/cutcube.png"
"dark-brick-wall","Dark Brick Wall","dark-brick-wall.png","96","96","1:1","True","True","assets/textures/transparent/dark-brick-wall.png"
"dark-circles","Dark Circles","dark-circles.png","10","12","5:6","True","True","assets/textures/transparent/dark-circles.png"
"dark-denim","Dark Denim","dark-denim.png","145","145","1:1","True","True","assets/textures/transparent/dark-denim.png"
"dark-denim-3","Dark Denim 3","dark-denim-3.png","420","326","210:163","True","True","assets/textures/transparent/dark-denim-3.png"
"dark-dot","Dark Dot","dark-dot.png","5","5","1:1","True","True","assets/textures/transparent/dark-dot.png"
"dark-dotted-2","Dark Dotted 2","dark-dotted-2.png","7","7","1:1","True","True","assets/textures/transparent/dark-dotted-2.png"
"dark-exa","Dark Exa","dark-exa.png","18","30","3:5","True","True","assets/textures/transparent/dark-exa.png"
"dark-fish-skin","Dark Fish Skin","dark-fish-skin.png","6","12","1:2","True","True","assets/textures/transparent/dark-fish-skin.png"
"dark-geometric","Dark Geometric","dark-geometric.png","70","70","1:1","True","True","assets/textures/transparent/dark-geometric.png"
"dark-leather","Dark Leather","dark-leather.png","398","484","199:242","True","True","assets/textures/transparent/dark-leather.png"
"dark-matter","Dark Matter","dark-matter.png","7","7","1:1","True","True","assets/textures/transparent/dark-matter.png"
"dark-mosaic","Dark Mosaic","dark-mosaic.png","300","295","60:59","True","True","assets/textures/transparent/dark-mosaic.png"
"dark-stripes","Dark Stripes","dark-stripes.png","50","50","1:1","True","True","assets/textures/transparent/dark-stripes.png"
"dark-stripes-light","Dark Stripes (Light)","dark-stripes-light.png","50","50","1:1","True","True","assets/textures/transparent/dark-stripes-light.png"
"dark-tire","Dark Tire","dark-tire.png","250","250","1:1","True","True","assets/textures/transparent/dark-tire.png"
"dark-wall","Dark Wall","dark-wall.png","300","300","1:1","True","True","assets/textures/transparent/dark-wall.png"
"dark-wood","Dark Wood","dark-wood.png","512","512","1:1","True","True","assets/textures/transparent/dark-wood.png"
"darth-stripe","Darth Stripe","darth-stripe.png","511","511","1:1","True","True","assets/textures/transparent/darth-stripe.png"
"debut-dark","Debut Dark","debut-dark.png","200","200","1:1","True","True","assets/textures/transparent/debut-dark.png"
"debut-light","Debut Light","debut-light.png","200","200","1:1","True","True","assets/textures/transparent/debut-light.png"
"diagmonds","Diagmonds (Dark)","diagmonds.png","141","142","141:142","True","True","assets/textures/transparent/diagmonds.png"
"diagmonds-light","Diagmonds (Light)","diagmonds-light.png","141","142","141:142","True","True","assets/textures/transparent/diagmonds-light.png"
"diagonal-noise","Diagonal Noise","diagonal-noise.png","100","100","1:1","True","True","assets/textures/transparent/diagonal-noise.png"
"diagonal-striped-brick","Diagonal Striped Brick","diagonal-striped-brick.png","150","150","1:1","True","True","assets/textures/transparent/diagonal-striped-brick.png"
"diagonal-waves","Diagonal Waves","diagonal-waves.png","38","38","1:1","True","True","assets/textures/transparent/diagonal-waves.png"
"diagonales-decalees","Diagonales Decalees","diagonales-decalees.png","144","48","3:1","True","True","assets/textures/transparent/diagonales-decalees.png"
"diamond-eyes","Diamond Eyes","diamond-eyes.png","33","25","33:25","True","True","assets/textures/transparent/diamond-eyes.png"
"diamond-upholstery","Diamond Upholstery","diamond-upholstery.png","200","200","1:1","True","True","assets/textures/transparent/diamond-upholstery.png"
"diamonds-are-forever","Diamonds Are Forever","diamonds-are-forever.png","24","18","4:3","True","True","assets/textures/transparent/diamonds-are-forever.png"
"dimension","Dimension","dimension.png","43","50","43:50","True","True","assets/textures/transparent/dimension.png"
"dirty-old-black-shirt","Dirty Old Black Shirt","dirty-old-black-shirt.png","250","250","1:1","True","True","assets/textures/transparent/dirty-old-black-shirt.png"
"dotnoise-light-grey","Dotnoise Light Grey","dotnoise-light-grey.png","100","100","1:1","True","True","assets/textures/transparent/dotnoise-light-grey.png"
"double-lined","Double Lined","double-lined.png","150","64","75:32","True","True","assets/textures/transparent/double-lined.png"
"dust","Dust","dust.png","400","300","4:3","True","True","assets/textures/transparent/dust.png"
"ecailles","Ecailles","ecailles.png","48","20","12:5","True","True","assets/textures/transparent/ecailles.png"
"egg-shell","Egg Shell","egg-shell.png","256","256","1:1","True","True","assets/textures/transparent/egg-shell.png"
"elastoplast","Elastoplast","elastoplast.png","37","37","1:1","True","True","assets/textures/transparent/elastoplast.png"
"elegant-grid","Elegant Grid","elegant-grid.png","16","28","4:7","True","True","assets/textures/transparent/elegant-grid.png"
"embossed-paper","Embossed Paper","embossed-paper.png","8","10","4:5","True","True","assets/textures/transparent/embossed-paper.png"
"escheresque","Escheresque","escheresque.png","46","29","46:29","True","True","assets/textures/transparent/escheresque.png"
"escheresque-dark","Escheresque Dark","escheresque-dark.png","46","29","46:29","True","True","assets/textures/transparent/escheresque-dark.png"
"exclusive-paper","Exclusive Paper","exclusive-paper.png","560","420","4:3","True","True","assets/textures/transparent/exclusive-paper.png"
"fabric-plaid","Fabric (Plaid)","fabric-plaid.png","200","200","1:1","True","True","assets/textures/transparent/fabric-plaid.png"
"fabric-1-dark","Fabric 1 (Dark)","fabric-1-dark.png","400","400","1:1","True","True","assets/textures/transparent/fabric-1-dark.png"
"fabric-1-light","Fabric 1 (Light)","fabric-1-light.png","400","400","1:1","True","True","assets/textures/transparent/fabric-1-light.png"
"fabric-of-squares","Fabric Of Squares","fabric-of-squares.png","410","410","1:1","True","True","assets/textures/transparent/fabric-of-squares.png"
"fake-brick","Fake Brick","fake-brick.png","76","76","1:1","True","True","assets/textures/transparent/fake-brick.png"
"fake-luxury","Fake Luxury","fake-luxury.png","16","26","8:13","True","True","assets/textures/transparent/fake-luxury.png"
"fancy-deboss","Fancy Deboss","fancy-deboss.png","18","13","18:13","True","True","assets/textures/transparent/fancy-deboss.png"
"farmer","Farmer","farmer.png","349","349","1:1","True","True","assets/textures/transparent/farmer.png"
"felt","Felt","felt.png","500","466","250:233","True","True","assets/textures/transparent/felt.png"
"first-aid-kit","First Aid Kit","first-aid-kit.png","99","99","1:1","True","True","assets/textures/transparent/first-aid-kit.png"
"flower-trail","Flower Trail","flower-trail.png","16","16","1:1","True","True","assets/textures/transparent/flower-trail.png"
"flowers","Flowers","flowers.png","150","150","1:1","True","True","assets/textures/transparent/flowers.png"
"foggy-birds","Foggy Birds","foggy-birds.png","206","206","1:1","True","True","assets/textures/transparent/foggy-birds.png"
"food","Food","food.png","300","300","1:1","True","True","assets/textures/transparent/food.png"
"football-no-lines","Football (No Yardlines)","football-no-lines.png","714","240","119:40","True","True","assets/textures/transparent/football-no-lines.png"
"french-stucco","French Stucco","french-stucco.png","400","355","80:71","True","True","assets/textures/transparent/french-stucco.png"
"fresh-snow","Fresh Snow","fresh-snow.png","500","500","1:1","True","True","assets/textures/transparent/fresh-snow.png"
"gold-scale","Gold Scale","gold-scale.png","25","25","1:1","True","True","assets/textures/transparent/gold-scale.png"
"gplay","Gplay","gplay.png","188","178","94:89","True","True","assets/textures/transparent/gplay.png"
"gradient-squares","Gradient Squares","gradient-squares.png","202","202","1:1","True","True","assets/textures/transparent/gradient-squares.png"
"graphcoders-lil-fiber","Graphcoders Lil Fiber","graphcoders-lil-fiber.png","21","35","3:5","True","True","assets/textures/transparent/graphcoders-lil-fiber.png"
"graphy-dark","Graphy (Dark)","graphy-dark.png","80","160","1:2","True","True","assets/textures/transparent/graphy-dark.png"
"graphy","Graphy (Light)","graphy.png","80","160","1:2","True","True","assets/textures/transparent/graphy.png"
"gravel","Gravel","gravel.png","222","206","111:103","True","True","assets/textures/transparent/gravel.png"
"gray-floral","Gray Floral","gray-floral.png","150","124","75:62","True","True","assets/textures/transparent/gray-floral.png"
"gray-lines","Gray Lines","gray-lines.png","150","150","1:1","True","True","assets/textures/transparent/gray-lines.png"
"gray-sand","Gray Sand","gray-sand.png","211","211","1:1","True","True","assets/textures/transparent/gray-sand.png"
"green-cup","Green Cup","green-cup.png","400","400","1:1","True","True","assets/textures/transparent/green-cup.png"
"green-dust-and-scratches","Green Dust and Scratches","green-dust-and-scratches.png","296","300","74:75","True","True","assets/textures/transparent/green-dust-and-scratches.png"
"green-fibers","Green Fibers","green-fibers.png","200","200","1:1","True","True","assets/textures/transparent/green-fibers.png"
"green-gobbler","Green Gobbler","green-gobbler.png","39","39","1:1","True","True","assets/textures/transparent/green-gobbler.png"
"grey-jean","Grey Jean","grey-jean.png","150","150","1:1","True","True","assets/textures/transparent/grey-jean.png"
"grey-sandbag","Grey Sandbag","grey-sandbag.png","100","98","50:49","True","True","assets/textures/transparent/grey-sandbag.png"
"grey-washed-wall","Grey Washed Wall","grey-washed-wall.png","350","259","50:37","True","True","assets/textures/transparent/grey-washed-wall.png"
"greyzz","Greyzz","greyzz.png","149","139","149:139","True","True","assets/textures/transparent/greyzz.png"
"grid","Grid","grid.png","310","310","1:1","True","True","assets/textures/transparent/grid.png"
"grid-me","Grid Me","grid-me.png","50","50","1:1","True","True","assets/textures/transparent/grid-me.png"
"grid-noise","Grid Noise","grid-noise.png","98","98","1:1","True","True","assets/textures/transparent/grid-noise.png"
"grilled-noise","Grilled Noise","grilled-noise.png","170","180","17:18","True","True","assets/textures/transparent/grilled-noise.png"
"groovepaper","Groovepaper","groovepaper.png","300","300","1:1","True","True","assets/textures/transparent/groovepaper.png"
"grunge-wall","Grunge Wall","grunge-wall.png","500","375","4:3","True","True","assets/textures/transparent/grunge-wall.png"
"gun-metal","Gun Metal","gun-metal.png","10","10","1:1","True","True","assets/textures/transparent/gun-metal.png"
"handmade-paper","Handmade Paper","handmade-paper.png","100","100","1:1","True","True","assets/textures/transparent/handmade-paper.png"
"hexabump","Hexabump","hexabump.png","19","33","19:33","True","True","assets/textures/transparent/hexabump.png"
"hexellence","Hexellence","hexellence.png","150","173","150:173","True","True","assets/textures/transparent/hexellence.png"
"hixs-evolution","Hixs Evolution","hixs-evolution.png","35","34","35:34","True","True","assets/textures/transparent/hixs-evolution.png"
"hoffman","Hoffman","hoffman.png","16","16","1:1","True","True","assets/textures/transparent/hoffman.png"
"honey-im-subtle","Honey I'm Subtle","honey-im-subtle.png","179","132","179:132","True","True","assets/textures/transparent/honey-im-subtle.png"
"ice-age","Ice Age","ice-age.png","400","400","1:1","True","True","assets/textures/transparent/ice-age.png"
"inflicted","Inflicted","inflicted.png","240","240","1:1","True","True","assets/textures/transparent/inflicted.png"
"inspiration-geometry","Inspiration Geometry","inspiration-geometry.png","412","412","1:1","True","True","assets/textures/transparent/inspiration-geometry.png"
"iron-grip","Iron Grip","iron-grip.png","300","301","300:301","True","True","assets/textures/transparent/iron-grip.png"
"kinda-jean","Kinda Jean","kinda-jean.png","147","147","1:1","True","True","assets/textures/transparent/kinda-jean.png"
"knitted-netting","Knitted Netting","knitted-netting.png","8","8","1:1","True","True","assets/textures/transparent/knitted-netting.png"
"knitted-sweater","Knitted Sweater","knitted-sweater.png","250","250","1:1","True","True","assets/textures/transparent/knitted-sweater.png"
"kuji","Kuji","kuji.png","30","30","1:1","True","True","assets/textures/transparent/kuji.png"
"large-leather","Large Leather","large-leather.png","400","343","400:343","True","True","assets/textures/transparent/large-leather.png"
"leather","Leather","leather.png","300","300","1:1","True","True","assets/textures/transparent/leather.png"
"light-aluminum","Light Aluminum","light-aluminum.png","282","282","1:1","True","True","assets/textures/transparent/light-aluminum.png"
"light-gray","Light Gray","light-gray.png","301","621","301:621","True","True","assets/textures/transparent/light-gray.png"
"light-grey-floral-motif","Light Grey Floral Motif","light-grey-floral-motif.png","32","56","4:7","True","True","assets/textures/transparent/light-grey-floral-motif.png"
"light-honeycomb","Light Honeycomb","light-honeycomb.png","270","289","270:289","True","True","assets/textures/transparent/light-honeycomb.png"
"light-honeycomb-dark","Light Honeycomb (Dark)","light-honeycomb-dark.png","270","289","270:289","True","True","assets/textures/transparent/light-honeycomb-dark.png"
"light-mesh","Light Mesh","light-mesh.png","256","256","1:1","True","True","assets/textures/transparent/light-mesh.png"
"light-paper-fibers","Light Paper Fibers","light-paper-fibers.png","500","300","5:3","True","True","assets/textures/transparent/light-paper-fibers.png"
"light-sketch","Light Sketch","light-sketch.png","600","600","1:1","True","True","assets/textures/transparent/light-sketch.png"
"light-toast","Light Toast","light-toast.png","200","200","1:1","True","True","assets/textures/transparent/light-toast.png"
"light-wool","Light Wool","light-wool.png","190","191","190:191","True","True","assets/textures/transparent/light-wool.png"
"lined-paper","Lined Paper","lined-paper.png","300","224","75:56","True","True","assets/textures/transparent/lined-paper.png"
"lined-paper-2","Lined Paper 2","lined-paper-2.png","412","300","103:75","True","True","assets/textures/transparent/lined-paper-2.png"
"little-knobs","Little Knobs","little-knobs.png","10","10","1:1","True","True","assets/textures/transparent/little-knobs.png"
"little-pluses","Little Pluses","little-pluses.png","300","300","1:1","True","True","assets/textures/transparent/little-pluses.png"
"little-triangles","Little Triangles","little-triangles.png","10","11","10:11","True","True","assets/textures/transparent/little-triangles.png"
"low-contrast-linen","Low Contrast Linen","low-contrast-linen.png","256","256","1:1","True","True","assets/textures/transparent/low-contrast-linen.png"
"lyonnette","Lyonnette","lyonnette.png","90","90","1:1","True","True","assets/textures/transparent/lyonnette.png"
"maze-black","Maze Black","maze-black.png","46","23","2:1","True","True","assets/textures/transparent/maze-black.png"
"maze-white","Maze White","maze-white.png","46","23","2:1","True","True","assets/textures/transparent/maze-white.png"
"mbossed","Mbossed","mbossed.png","26","26","1:1","True","True","assets/textures/transparent/mbossed.png"
"medic-packaging-foil","Medic Packaging Foil","medic-packaging-foil.png","8","8","1:1","True","True","assets/textures/transparent/medic-packaging-foil.png"
"merely-cubed","Merely Cubed","merely-cubed.png","16","16","1:1","True","True","assets/textures/transparent/merely-cubed.png"
"micro-carbon","Micro Carbon","micro-carbon.png","4","4","1:1","True","True","assets/textures/transparent/micro-carbon.png"
"mirrored-squares","Mirrored Squares","mirrored-squares.png","166","166","1:1","True","True","assets/textures/transparent/mirrored-squares.png"
"mocha-grunge","Mocha Grunge","mocha-grunge.png","400","400","1:1","True","True","assets/textures/transparent/mocha-grunge.png"
"mooning","Mooning","mooning.png","400","400","1:1","True","True","assets/textures/transparent/mooning.png"
"moulin","Moulin","moulin.png","20","20","1:1","True","True","assets/textures/transparent/moulin.png"
"my-little-plaid-dark","My Little Plaid (Dark)","my-little-plaid-dark.png","54","54","1:1","True","True","assets/textures/transparent/my-little-plaid-dark.png"
"my-little-plaid","My Little Plaid (Light)","my-little-plaid.png","54","54","1:1","True","True","assets/textures/transparent/my-little-plaid.png"
"nami","Nami","nami.png","16","16","1:1","True","True","assets/textures/transparent/nami.png"
"nasty-fabric","Nasty Fabric","nasty-fabric.png","198","200","99:100","True","True","assets/textures/transparent/nasty-fabric.png"
"natural-paper","Natural Paper","natural-paper.png","523","384","523:384","True","True","assets/textures/transparent/natural-paper.png"
"navy","Navy","navy.png","600","385","120:77","True","True","assets/textures/transparent/navy.png"
"nice-snow","Nice Snow","nice-snow.png","250","250","1:1","True","True","assets/textures/transparent/nice-snow.png"
"nistri","Nistri","nistri.png","38","38","1:1","True","True","assets/textures/transparent/nistri.png"
"noise-lines","Noise Lines","noise-lines.png","60","59","60:59","True","True","assets/textures/transparent/noise-lines.png"
"noise-pattern-with-subtle-cross-lines","Noise Pattern With Subtle Cross Lines","noise-pattern-with-subtle-cross-lines.png","240","240","1:1","True","True","assets/textures/transparent/noise-pattern-with-subtle-cross-lines.png"
"noisy","Noisy","noisy.png","300","300","1:1","True","True","assets/textures/transparent/noisy.png"
"noisy-grid","Noisy Grid","noisy-grid.png","150","150","1:1","True","True","assets/textures/transparent/noisy-grid.png"
"noisy-net","Noisy Net","noisy-net.png","200","200","1:1","True","True","assets/textures/transparent/noisy-net.png"
"norwegian-rose","Norwegian Rose","norwegian-rose.png","48","48","1:1","True","True","assets/textures/transparent/norwegian-rose.png"
"notebook","Notebook","notebook.png","300","154","150:77","True","True","assets/textures/transparent/notebook.png"
"notebook-dark","Notebook (Dark)","notebook-dark.png","300","154","150:77","True","True","assets/textures/transparent/notebook-dark.png"
"office","Office","office.png","70","70","1:1","True","True","assets/textures/transparent/office.png"
"old-husks","Old Husks","old-husks.png","500","500","1:1","True","True","assets/textures/transparent/old-husks.png"
"old-map","Old Map","old-map.png","256","256","1:1","True","True","assets/textures/transparent/old-map.png"
"old-mathematics","Old Mathematics","old-mathematics.png","200","200","1:1","True","True","assets/textures/transparent/old-mathematics.png"
"old-moon","Old Moon","old-moon.png","300","300","1:1","True","True","assets/textures/transparent/old-moon.png"
"old-wall","Old Wall","old-wall.png","300","300","1:1","True","True","assets/textures/transparent/old-wall.png"
"otis-redding","Otis Redding","otis-redding.png","100","100","1:1","True","True","assets/textures/transparent/otis-redding.png"
"outlets","Outlets","outlets.png","4","8","1:2","True","True","assets/textures/transparent/outlets.png"
"p1","P1","p1.png","8","9","8:9","True","True","assets/textures/transparent/p1.png"
"p2","P2","p2.png","4","5","4:5","True","True","assets/textures/transparent/p2.png"
"p4","P4","p4.png","8","8","1:1","True","True","assets/textures/transparent/p4.png"
"p5","P5","p5.png","8","8","1:1","True","True","assets/textures/transparent/p5.png"
"p6","P6","p6.png","8","8","1:1","True","True","assets/textures/transparent/p6.png"
"padded","Padded","padded.png","160","160","1:1","True","True","assets/textures/transparent/padded.png"
"padded-light","Padded (Light)","padded-light.png","160","160","1:1","True","True","assets/textures/transparent/padded-light.png"
"paper","Paper","paper.png","500","593","500:593","True","True","assets/textures/transparent/paper.png"
"paper-1","Paper 1","paper-1.png","400","400","1:1","True","True","assets/textures/transparent/paper-1.png"
"paper-2","Paper 2","paper-2.png","280","280","1:1","True","True","assets/textures/transparent/paper-2.png"
"paper-3","Paper 3","paper-3.png","276","276","1:1","True","True","assets/textures/transparent/paper-3.png"
"paper-fibers","Paper Fibers","paper-fibers.png","410","410","1:1","True","True","assets/textures/transparent/paper-fibers.png"
"paven","Paven","paven.png","20","20","1:1","True","True","assets/textures/transparent/paven.png"
"perforated-white-leather","Perforated White Leather","perforated-white-leather.png","300","300","1:1","True","True","assets/textures/transparent/perforated-white-leather.png"
"pineapple-cut","Pineapple Cut","pineapple-cut.png","36","62","18:31","True","True","assets/textures/transparent/pineapple-cut.png"
"pinstripe-dark","Pinstripe (Dark)","pinstripe-dark.png","50","500","1:10","True","True","assets/textures/transparent/pinstripe-dark.png"
"pinstripe-light","Pinstripe (Light)","pinstripe-light.png","50","500","1:10","True","True","assets/textures/transparent/pinstripe-light.png"
"pinstriped-suit","Pinstriped Suit","pinstriped-suit.png","400","333","400:333","True","True","assets/textures/transparent/pinstriped-suit.png"
"pixel-weave","Pixel Weave","pixel-weave.png","64","64","1:1","True","True","assets/textures/transparent/pixel-weave.png"
"polaroid","Polaroid","polaroid.png","58","36","29:18","True","True","assets/textures/transparent/polaroid.png"
"polonez-pattern","Polonez Pattern","polonez-pattern.png","300","300","1:1","True","True","assets/textures/transparent/polonez-pattern.png"
"polyester-lite","Polyester Lite","polyester-lite.png","17","22","17:22","True","True","assets/textures/transparent/polyester-lite.png"
"pool-table","Pool Table","pool-table.png","256","256","1:1","True","True","assets/textures/transparent/pool-table.png"
"project-paper","Project Paper","project-paper.png","105","105","1:1","True","True","assets/textures/transparent/project-paper.png"
"ps-neutral","Ps Neutral","ps-neutral.png","16","16","1:1","True","True","assets/textures/transparent/ps-neutral.png"
"psychedelic","Psychedelic","psychedelic.png","84","72","7:6","True","True","assets/textures/transparent/psychedelic.png"
"purty-wood","Purty Wood","purty-wood.png","400","400","1:1","True","True","assets/textures/transparent/purty-wood.png"
"pw-pattern","Pw Pattern","pw-pattern.png","188","188","1:1","True","True","assets/textures/transparent/pw-pattern.png"
